Variable;Description;Values or units
es_biodiversity_flora;To what extent is the technology increasing the variability among living organisms from all sources, including diversity within species, between species and of ecosystems. Flora includes any organism in the kingdom Plantae.;0 (none) - 3 (high)
es_temperature_regulation;To what extent the technology provides the regulation of humidity and localised temperatures during hot weather conditions, including through ventilation and transpiration.;0 (none) - 3 (high)
es_flood_mitigation;To what extent the technology provides mitigation or prevention of potential damage to human use, health or safety caused by stormwater.;0 (none) - 3 (high)
es_cso_mitigation;To what extent the technology helps to reduce the combined sewer overflows produced by storm events.;0 (none) - 3 (high)
es_carbon_sequestration;To what extent the technology is removing carbon from the atmosphere and depositing it in a carbon sink, such as oceans, plants or soils.;0 (none) - 3 (high)
es_biomass_production;To what extent the technology is providing above-ground (i.e., not roots) plant material trough regular harvesting and removal.;0 (none) - 3 (high)
es_aesthetic_value;To what extent the technology is aesthetically pleasant as a component of the landscape.;0 (none) - 3 (high)
es_recreation;To what extent the technology is providing recreation opportunities to citizens, such as walking or relaxing.;0 (none) - 3 (high)
es_pollination;To what extent the technology is providing a habitat for pollinators, mainly insects, but also birds and bats.;0 (none) - 3 (high)
es_food_source;To what extent the technology is providing food from wild plants and animals, including parts of the standing biomass that can be harvested and used for the production of food.;0 (none) - 3 (high)
es_water_reuse;To what extent the water treated by the technology is appropriate for beneficial purposes such as irrigation, drinking water supplies, groundwater rechargement, industrial processes, and environmental restoration.;0 (none) - 3 (high)
es_biosolids;To what extent the technology is providing sludge that is rich in nutrients and can be reused as fertilizer.;0 (none) - 3 (high)
household_building_solutions;Is the technology appropriate (active) to be build for a single household or building? Or, on the contrary, it needs a bigger scale?;"0 (no); 1 (yes); 2 (not ideal)"
energy;Is the technology using energy for its normal operation? Does it needs water or air pumps? Any other kind of similar energy demand?;"0 (no); 1 (yes)"
inv_es_manpower;What level of manpower is required for its operation? Including all kinds of regular works required to keep the technology working.;0 (none) - 3 (high)
inv_es_skills;What level of skills are required to operate the technology?;0 (none) - 3 (high)
inv_es_biohazard;To what extent the technology presents biohazard risks, including microorganisms, virus and toxins that can affect human health?;0 (none) - 3 (high)
capex_low;Construction costs (low boundary);€
capex_high;Construction costs (high boundary);€
opex_low;Operational costs (low boundary);€
opex_high;Operational costs (high boundary);€
module;Is the solutions for wastewater treatment or for stormwater management?;"treatment; swm"
infiltration;Does the techology allow infiltration into the ground?;"0 (no); 1 (yes)"
storage_capacity_low;The granulometry of the retention layer (phi) (low boundary);--
storage_capacity_high;The granulometry of the retention layer (phi) (high boundary);--
hc_low;Hydraulic conductivity of the retention layer (low boundary);mm/hour
hc_high;Hydraulic conductivity of the retention layer (high boundary);mm/hour
depth;The standard depth of the solution;m
